transaction_id,date,description,category,amount_lkr,transaction_type,notes
TXN0230,2026-03-27,Freelancer Payment — Tharushi Jayasinghe,Freelancer Fees,-26910.4,Debit,Contract work — Tharushi Jayasinghe
TXN0235,2026-03-27,Sampath Bank — Monthly Account Maintenance,Bank Charges,-1791.72,Debit,Monthly bank service charge
TXN0205,2026-03-28,Team Lunch — Client Meeting,Meals & Entertainment,-3797.36,Debit,Petty cash expense
TXN0241,2026-03-28,Insurance Claim Reimbursement,Insurance,14494.18,Credit,Miscellaneous income
TXN0194,2026-03-29,Printer Ink & Paper Restock,Office Supplies,-7729.39,Debit,Petty cash expense
TXN0222,2026-03-29,Team Lunch — Client Meeting,Meals & Entertainment,-11451.13,Debit,Petty cash expense
TXN0185,2026-03-30,Printer Ink & Paper Restock,Office Supplies,-7294.87,Debit,Petty cash expense
TXN0186,2026-03-30,Tea/Coffee & Office Refreshments,Petty Cash,-1962.26,Debit,Petty cash expense
TXN0242,2026-03-30,Fuel — Company Vehicle,Transport,-10371.08,Debit,Company vehicle fuel top-up
TXN0195,2026-03-31,Printer Ink & Paper Restock,Office Supplies,-3725.71,Debit,Petty cash expense
TXN0203,2026-03-31,Team Lunch — Client Meeting,Meals & Entertainment,-4792.29,Debit,Petty cash expense
TXN0261,2026-04-01,"Office Rent — Colombo 3, Level 4",Rent,-121043.4,Debit,Monthly office lease payment
TXN0274,2026-04-01,Photocopy & Binding — Reports,Office Supplies,-2201.33,Debit,Petty cash expense
TXN0313,2026-04-01,Monthly Retainer — Dialog Axiata PLC,Retainer Fee,104855.15,Credit,Fixed monthly support retainer from Dialog Axiata PLC
TXN0314,2026-04-01,Monthly Retainer — Sampath Bank,Retainer Fee,53207.66,Credit,Fixed monthly support retainer from Sampath Bank
TXN0315,2026-04-01,Monthly Retainer — MAS Holdings,Retainer Fee,88402.32,Credit,Fixed monthly support retainer from MAS Holdings
TXN0316,2026-04-01,Monthly Retainer — SLT-Mobitel,Retainer Fee,112573.32,Credit,Fixed monthly support retainer from SLT-Mobitel
TXN0268,2026-04-02,Grab / PickMe — Staff Transport,Transport,-2522.31,Debit,Petty cash expense
TXN0294,2026-04-02,Team Lunch — Client Meeting,Meals & Entertainment,-7195.42,Debit,Petty cash expense
TXN0306,2026-04-02,Photocopy & Binding — Reports,Office Supplies,-1663.35,Debit,Petty cash expense
TXN0284,2026-04-03,Team Lunch — Client Meeting,Meals & Entertainment,-8750.07,Debit,Petty cash expense
TXN0285,2026-04-03,Parking Fee — Colombo Office,Transport,-246.54,Debit,Petty cash expense
TXN0318,2026-04-03,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-19090.06,Debit,Petty cash fund replenishment
TXN0334,2026-04-03,Fuel — Company Vehicle,Transport,-3454.79,Debit,Company vehicle fuel top-up
TXN0287,2026-04-04,Tea/Coffee & Office Refreshments,Petty Cash,-1675.81,Debit,Petty cash expense
TXN0302,2026-04-04,Printer Ink & Paper Restock,Office Supplies,-5478.99,Debit,Petty cash expense
TXN0304,2026-04-04,Courier — Document Delivery,Logistics,-357.46,Debit,Petty cash expense
TXN0266,2026-04-05,Bank of Ceylon — Business Loan EMI,Loan Repayment,-75000,Debit,Monthly EMI for LKR 3.6M business loan
TXN0337,2026-04-05,Keells Super — Office Pantry,Petty Cash,-4189.63,Debit,Vendor invoice payment
TXN0289,2026-04-06,Grab / PickMe — Staff Transport,Transport,-2230.13,Debit,Petty cash expense
TXN0320,2026-04-06,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-14141.69,Debit,Petty cash fund replenishment
TXN0303,2026-04-07,Team Lunch — Client Meeting,Meals & Entertainment,-9778.21,Debit,Petty cash expense
TXN0319,2026-04-07,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-5966.11,Debit,Petty cash fund replenishment
TXN0327,2026-04-07,Ceylinco Insurance — Business Property & Liability,Insurance,-38087.65,Debit,Quarterly business insurance premium
TXN0328,2026-04-07,Fuel — Company Vehicle,Transport,-4866.0,Debit,Company vehicle fuel top-up
TXN0330,2026-04-07,Fuel — Company Vehicle,Transport,-9327.79,Debit,Company vehicle fuel top-up
TXN0280,2026-04-08,Staff Overtime Meal Allowance,Meals & Entertainment,-4163.56,Debit,Petty cash expense
TXN0321,2026-04-08,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-21440.86,Debit,Petty cash fund replenishment
TXN0259,2026-04-09,Invoice Payment — Dipped Products,Sales Revenue,302870.6,Credit,Project milestone payment from Dipped Products
TXN0301,2026-04-09,Team Lunch — Client Meeting,Meals & Entertainment,-7728.67,Debit,Petty cash expense
TXN0258,2026-04-10,Invoice Payment — MAS Holdings,Sales Revenue,314640.55,Credit,Project milestone payment from MAS Holdings
TXN0262,2026-04-10,Lanka Electricity Board — Office Bill,Electricity Bill,-22534.2,Debit,Monthly electricity consumption
TXN0283,2026-04-10,Parking Fee — Colombo Office,Transport,-517.84,Debit,Petty cash expense
TXN0323,2026-04-10,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-21379.59,Debit,Petty cash fund replenishment
TXN0339,2026-04-10,Dialog — Mobile Bills (Staff),Telephone,-8929.74,Debit,Vendor invoice payment
TXN0267,2026-04-11,Team Lunch — Client Meeting,Meals & Entertainment,-3210.62,Debit,Petty cash expense
TXN0322,2026-04-11,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-11879.08,Debit,Petty cash fund replenishment
TXN0263,2026-04-12,SLT Fiber — Office Broadband (1Gbps),Internet Bill,-11357.18,Debit,Monthly ISP subscription
TXN0324,2026-04-12,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-18425.19,Debit,Petty cash fund replenishment
TXN0336,2026-04-13,Abans PLC — IT Equipment Maintenance,Equipment Maintenance,-52989.73,Debit,Vendor invoice payment
TXN0338,2026-04-13,Keells Super — Office Pantry,Petty Cash,-13131.84,Debit,Vendor invoice payment
TXN0286,2026-04-14,Tea/Coffee & Office Refreshments,Petty Cash,-2318.15,Debit,Petty cash expense
TXN0290,2026-04-14,Staff Overtime Meal Allowance,Meals & Entertainment,-4106.8,Debit,Petty cash expense
TXN0312,2026-04-14,Freelancer Payment — Malith De Silva,Freelancer Fees,-98192.67,Debit,Contract work — Malith De Silva
TXN0273,2026-04-15,Grab / PickMe — Staff Transport,Transport,-1931.01,Debit,Petty cash expense
TXN0317,2026-04-15,Sampath Bank — Monthly Account Maintenance,Bank Charges,-1930.85,Debit,Monthly bank service charge
TXN0264,2026-04-16,CloudHosting.lk — Server & Hosting,Cloud & Software,-47027.04,Debit,Monthly cloud infrastructure
TXN0271,2026-04-16,Photocopy & Binding — Reports,Office Supplies,-894.54,Debit,Petty cash expense
TXN0278,2026-04-16,Photocopy & Binding — Reports,Office Supplies,-1437.22,Debit,Petty cash expense
TXN0291,2026-04-16,Grab / PickMe — Staff Transport,Transport,-853.12,Debit,Petty cash expense
TXN0292,2026-04-17,Parking Fee — Colombo Office,Transport,-579.7,Debit,Petty cash expense
TXN0310,2026-04-17,Freelancer Payment — Kasun Perera,Freelancer Fees,-28561.41,Debit,Contract work — Kasun Perera
TXN0335,2026-04-18,Fuel — Company Vehicle,Transport,-9260.01,Debit,Company vehicle fuel top-up
TXN0265,2026-04-19,Lanka Advertising Agency — Digital Campaign,Marketing,-37607.3,Debit,Online ads & social media campaign — month 4
TXN0295,2026-04-19,Printer Ink & Paper Restock,Office Supplies,-2878.93,Debit,Petty cash expense
TXN0333,2026-04-19,Fuel — Company Vehicle,Transport,-6904.6,Debit,Company vehicle fuel top-up
TXN0277,2026-04-20,Tea/Coffee & Office Refreshments,Petty Cash,-1016.79,Debit,Petty cash expense
TXN0307,2026-04-20,Grab / PickMe — Staff Transport,Transport,-1226.12,Debit,Petty cash expense
TXN0269,2026-04-21,Staff Overtime Meal Allowance,Meals & Entertainment,-2985.98,Debit,Petty cash expense
TXN0288,2026-04-21,Staff Overtime Meal Allowance,Meals & Entertainment,-3637.7,Debit,Petty cash expense
TXN0293,2026-04-21,Printer Ink & Paper Restock,Office Supplies,-3682.19,Debit,Petty cash expense
TXN0297,2026-04-21,Team Lunch — Client Meeting,Meals & Entertainment,-11030.2,Debit,Petty cash expense
TXN0281,2026-04-22,Tea/Coffee & Office Refreshments,Petty Cash,-2122.47,Debit,Petty cash expense
TXN0332,2026-04-22,Fuel — Company Vehicle,Transport,-7789.07,Debit,Company vehicle fuel top-up
TXN0298,2026-04-23,Staff Overtime Meal Allowance,Meals & Entertainment,-3346.63,Debit,Petty cash expense
TXN0331,2026-04-23,Fuel — Company Vehicle,Transport,-11597.89,Debit,Company vehicle fuel top-up
TXN0272,2026-04-24,Grab / PickMe — Staff Transport,Transport,-1720.86,Debit,Petty cash expense
TXN0326,2026-04-24,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-9520.28,Debit,Petty cash fund replenishment
TXN0257,2026-04-25,Invoice Payment — Aitken Spence,Sales Revenue,250748.78,Credit,Project milestone payment from Aitken Spence
TXN0260,2026-04-25,Staff Salaries — 12 Employees,Salaries,-1011014.43,Debit,Monthly payroll run
TXN0308,2026-04-25,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-30260.8,Debit,Contract work — Shanuki Rathnayake
TXN0329,2026-04-25,Fuel — Company Vehicle,Transport,-9549.63,Debit,Company vehicle fuel top-up
TXN0299,2026-04-26,Printer Ink & Paper Restock,Office Supplies,-7118.01,Debit,Petty cash expense
TXN0309,2026-04-26,Freelancer Payment — Kasun Perera,Freelancer Fees,-46803.37,Debit,Contract work — Kasun Perera
TXN0311,2026-04-26,Freelancer Payment — Kasun Perera,Freelancer Fees,-91754.4,Debit,Contract work — Kasun Perera
TXN0325,2026-04-26,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-8061.09,Debit,Petty cash fund replenishment
TXN0275,2026-04-27,Courier — Document Delivery,Logistics,-479.04,Debit,Petty cash expense
TXN0296,2026-04-27,Grab / PickMe — Staff Transport,Transport,-3741.1,Debit,Petty cash expense
TXN0300,2026-04-27,Tea/Coffee & Office Refreshments,Petty Cash,-2233.31,Debit,Petty cash expense
TXN0270,2026-04-29,Parking Fee — Colombo Office,Transport,-727.2,Debit,Petty cash expense
TXN0276,2026-04-29,Staff Overtime Meal Allowance,Meals & Entertainment,-4975.12,Debit,Petty cash expense
TXN0279,2026-04-29,Courier — Document Delivery,Logistics,-456.51,Debit,Petty cash expense
TXN0282,2026-04-29,Courier — Document Delivery,Logistics,-462.06,Debit,Petty cash expense
TXN0305,2026-04-29,Grab / PickMe — Staff Transport,Transport,-3247.03,Debit,Petty cash expense
TXN0344,2026-05-01,"Office Rent — Colombo 3, Level 4",Rent,-118515.92,Debit,Monthly office lease payment
TXN0399,2026-05-01,Monthly Retainer — Dialog Axiata PLC,Retainer Fee,144225.52,Credit,Fixed monthly support retainer from Dialog Axiata PLC
TXN0400,2026-05-01,Monthly Retainer — Sampath Bank,Retainer Fee,145926.18,Credit,Fixed monthly support retainer from Sampath Bank
TXN0401,2026-05-01,Monthly Retainer — MAS Holdings,Retainer Fee,78044.07,Credit,Fixed monthly support retainer from MAS Holdings
TXN0402,2026-05-01,Monthly Retainer — SLT-Mobitel,Retainer Fee,104915.19,Credit,Fixed monthly support retainer from SLT-Mobitel
TXN0408,2026-05-01,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-20775.7,Debit,Petty cash fund replenishment
TXN0369,2026-05-03,Staff Overtime Meal Allowance,Meals & Entertainment,-2692.89,Debit,Petty cash expense
TXN0383,2026-05-03,Printer Ink & Paper Restock,Office Supplies,-7672.85,Debit,Petty cash expense
TXN0405,2026-05-03,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-13916.39,Debit,Petty cash fund replenishment
TXN0358,2026-05-04,Printer Ink & Paper Restock,Office Supplies,-4771.23,Debit,Petty cash expense
TXN0360,2026-05-04,Grab / PickMe — Staff Transport,Transport,-3718.06,Debit,Petty cash expense
TXN0384,2026-05-04,Printer Ink & Paper Restock,Office Supplies,-4859.18,Debit,Petty cash expense
TXN0350,2026-05-05,Bank of Ceylon — Business Loan EMI,Loan Repayment,-75000,Debit,Monthly EMI for LKR 3.6M business loan
TXN0351,2026-05-06,Grab / PickMe — Staff Transport,Transport,-4965.82,Debit,Petty cash expense
TXN0414,2026-05-06,Fuel — Company Vehicle,Transport,-6962.72,Debit,Company vehicle fuel top-up
TXN0419,2026-05-06,Fuel — Company Vehicle,Transport,-6403.8,Debit,Company vehicle fuel top-up
TXN0426,2026-05-06,Printcare PLC — Stationery Order,Office Supplies,-12299.37,Debit,Vendor invoice payment
TXN0349,2026-05-07,Office Mart Colombo — Stationery & Equipment,Office Supplies,-20726.09,Debit,Office consumables and equipment
TXN0363,2026-05-07,Staff Overtime Meal Allowance,Meals & Entertainment,-2027.71,Debit,Petty cash expense
TXN0417,2026-05-07,Fuel — Company Vehicle,Transport,-11523.53,Debit,Company vehicle fuel top-up
TXN0355,2026-05-08,Tea/Coffee & Office Refreshments,Petty Cash,-630.05,Debit,Petty cash expense
TXN0418,2026-05-08,Fuel — Company Vehicle,Transport,-11164.7,Debit,Company vehicle fuel top-up
TXN0340,2026-05-09,Invoice Payment — Hayleys PLC,Sales Revenue,337772.46,Credit,Project milestone payment from Hayleys PLC
TXN0356,2026-05-09,Team Lunch — Client Meeting,Meals & Entertainment,-5167.8,Debit,Petty cash expense
TXN0412,2026-05-09,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-20930.01,Debit,Petty cash fund replenishment
TXN0413,2026-05-09,Fuel — Company Vehicle,Transport,-7702.87,Debit,Company vehicle fuel top-up
TXN0345,2026-05-10,Lanka Electricity Board — Office Bill,Electricity Bill,-36308.35,Debit,Monthly electricity consumption
TXN0407,2026-05-10,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-15728.42,Debit,Petty cash fund replenishment
TXN0420,2026-05-10,Fuel — Company Vehicle,Transport,-8253.4,Debit,Company vehicle fuel top-up
TXN0422,2026-05-10,Fuel — Company Vehicle,Transport,-4850.56,Debit,Company vehicle fuel top-up
TXN0380,2026-05-11,Courier — Document Delivery,Logistics,-653.01,Debit,Petty cash expense
TXN0391,2026-05-11,Staff Overtime Meal Allowance,Meals & Entertainment,-5549.59,Debit,Petty cash expense
TXN0397,2026-05-11,Freelancer Payment — Kasun Perera,Freelancer Fees,-89026.5,Debit,Contract work — Kasun Perera
TXN0404,2026-05-11,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-22245.24,Debit,Petty cash fund replenishment
TXN0346,2026-05-12,SLT Fiber — Office Broadband (1Gbps),Internet Bill,-9689.94,Debit,Monthly ISP subscription
TXN0389,2026-05-12,Printer Ink & Paper Restock,Office Supplies,-6503.7,Debit,Petty cash expense
TXN0410,2026-05-12,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-10426.52,Debit,Petty cash fund replenishment
TXN0398,2026-05-13,Freelancer Payment — Ravindu Silva,Freelancer Fees,-54925.43,Debit,Contract work — Ravindu Silva
TXN0341,2026-05-14,Invoice Payment — SLT-Mobitel,Sales Revenue,335796.45,Credit,Project milestone payment from SLT-Mobitel
TXN0375,2026-05-14,Staff Overtime Meal Allowance,Meals & Entertainment,-1527.29,Debit,Petty cash expense
TXN0381,2026-05-14,Team Lunch — Client Meeting,Meals & Entertainment,-7384.38,Debit,Petty cash expense
TXN0424,2026-05-14,Printcare PLC — Stationery Order,Office Supplies,-25202.96,Debit,Vendor invoice payment
TXN0354,2026-05-15,Grab / PickMe — Staff Transport,Transport,-1876.44,Debit,Petty cash expense
TXN0379,2026-05-15,Printer Ink & Paper Restock,Office Supplies,-5963.43,Debit,Petty cash expense
TXN0394,2026-05-15,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-69161.5,Debit,Contract work — Shanuki Rathnayake
TXN0403,2026-05-15,Sampath Bank — Monthly Account Maintenance,Bank Charges,-658.96,Debit,Monthly bank service charge
TXN0348,2026-05-16,Lanka Advertising Agency — Digital Campaign,Marketing,-66046.07,Debit,Online ads & social media campaign — month 5
TXN0371,2026-05-16,Parking Fee — Colombo Office,Transport,-651.88,Debit,Petty cash expense
TXN0387,2026-05-16,Courier — Document Delivery,Logistics,-1361.67,Debit,Petty cash expense
TXN0393,2026-05-16,Freelancer Payment — Nimali Fernando,Freelancer Fees,-97048.68,Debit,Contract work — Nimali Fernando
TXN0395,2026-05-16,Freelancer Payment — Kasun Perera,Freelancer Fees,-78121.36,Debit,Contract work — Kasun Perera
TXN0366,2026-05-17,Team Lunch — Client Meeting,Meals & Entertainment,-8436.91,Debit,Petty cash expense
TXN0342,2026-05-18,Invoice Payment — Sampath Bank,Sales Revenue,511695.27,Credit,Project milestone payment from Sampath Bank
TXN0347,2026-05-18,CloudHosting.lk — Server & Hosting,Cloud & Software,-60809.42,Debit,Monthly cloud infrastructure
TXN0352,2026-05-18,Printer Ink & Paper Restock,Office Supplies,-7495.29,Debit,Petty cash expense
TXN0361,2026-05-18,Staff Overtime Meal Allowance,Meals & Entertainment,-1654.64,Debit,Petty cash expense
TXN0396,2026-05-18,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-70839.46,Debit,Contract work — Shanuki Rathnayake
TXN0365,2026-05-19,Parking Fee — Colombo Office,Transport,-725.45,Debit,Petty cash expense
TXN0376,2026-05-19,Tea/Coffee & Office Refreshments,Petty Cash,-1664.76,Debit,Petty cash expense
TXN0421,2026-05-20,Fuel — Company Vehicle,Transport,-9361.05,Debit,Company vehicle fuel top-up
TXN0374,2026-05-21,Parking Fee — Colombo Office,Transport,-750.81,Debit,Petty cash expense
TXN0382,2026-05-21,Photocopy & Binding — Reports,Office Supplies,-1861.13,Debit,Petty cash expense
TXN0385,2026-05-21,Tea/Coffee & Office Refreshments,Petty Cash,-1383.1,Debit,Petty cash expense
TXN0423,2026-05-21,Dialog — Mobile Bills (Staff),Telephone,-14167.35,Debit,Vendor invoice payment
TXN0390,2026-05-22,Printer Ink & Paper Restock,Office Supplies,-6115.59,Debit,Petty cash expense
TXN0416,2026-05-22,Fuel — Company Vehicle,Transport,-5259.88,Debit,Company vehicle fuel top-up
TXN0362,2026-05-23,Team Lunch — Client Meeting,Meals & Entertainment,-9550.66,Debit,Petty cash expense
TXN0392,2026-05-23,Freelancer Payment — Tharushi Jayasinghe,Freelancer Fees,-53942.05,Debit,Contract work — Tharushi Jayasinghe
TXN0409,2026-05-24,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-9329.45,Debit,Petty cash fund replenishment
TXN0425,2026-05-24,Keells Super — Office Pantry,Petty Cash,-11077.44,Debit,Vendor invoice payment
TXN0343,2026-05-25,Staff Salaries — 12 Employees,Salaries,-1011450.62,Debit,Monthly payroll run
TXN0367,2026-05-25,Parking Fee — Colombo Office,Transport,-415.35,Debit,Petty cash expense
TXN0368,2026-05-27,Team Lunch — Client Meeting,Meals & Entertainment,-5801.69,Debit,Petty cash expense
TXN0372,2026-05-27,Parking Fee — Colombo Office,Transport,-775.74,Debit,Petty cash expense
TXN0378,2026-05-27,Staff Overtime Meal Allowance,Meals & Entertainment,-3166.15,Debit,Petty cash expense
TXN0411,2026-05-27,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-19637.11,Debit,Petty cash fund replenishment
TXN0415,2026-05-27,Fuel — Company Vehicle,Transport,-6821.22,Debit,Company vehicle fuel top-up
TXN0353,2026-05-28,Printer Ink & Paper Restock,Office Supplies,-4905.82,Debit,Petty cash expense
TXN0359,2026-05-28,Printer Ink & Paper Restock,Office Supplies,-7252.61,Debit,Petty cash expense
TXN0370,2026-05-28,Grab / PickMe — Staff Transport,Transport,-3461.26,Debit,Petty cash expense
TXN0373,2026-05-28,Parking Fee — Colombo Office,Transport,-314.13,Debit,Petty cash expense
TXN0357,2026-05-29,Team Lunch — Client Meeting,Meals & Entertainment,-4608.58,Debit,Petty cash expense
TXN0364,2026-05-29,Courier — Document Delivery,Logistics,-1446.36,Debit,Petty cash expense
TXN0388,2026-05-30,Parking Fee — Colombo Office,Transport,-441.11,Debit,Petty cash expense
TXN0406,2026-05-30,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-15472.28,Debit,Petty cash fund replenishment
TXN0377,2026-05-31,Staff Overtime Meal Allowance,Meals & Entertainment,-2894.89,Debit,Petty cash expense
TXN0386,2026-05-31,Grab / PickMe — Staff Transport,Transport,-3037.76,Debit,Petty cash expense
TXN0434,2026-06-01,"Office Rent — Colombo 3, Level 4",Rent,-117805.01,Debit,Monthly office lease payment
TXN0481,2026-06-01,Monthly Retainer — Dialog Axiata PLC,Retainer Fee,66945.3,Credit,Fixed monthly support retainer from Dialog Axiata PLC
TXN0482,2026-06-01,Monthly Retainer — Sampath Bank,Retainer Fee,128964.64,Credit,Fixed monthly support retainer from Sampath Bank
TXN0483,2026-06-01,Monthly Retainer — MAS Holdings,Retainer Fee,105355.81,Credit,Fixed monthly support retainer from MAS Holdings
TXN0484,2026-06-01,Monthly Retainer — SLT-Mobitel,Retainer Fee,135611.44,Credit,Fixed monthly support retainer from SLT-Mobitel
TXN0465,2026-06-02,Courier — Document Delivery,Logistics,-443.54,Debit,Petty cash expense
TXN0448,2026-06-04,Tea/Coffee & Office Refreshments,Petty Cash,-2675.1,Debit,Petty cash expense
TXN0460,2026-06-04,Printer Ink & Paper Restock,Office Supplies,-2155.0,Debit,Petty cash expense
TXN0441,2026-06-05,Bank of Ceylon — Business Loan EMI,Loan Repayment,-75000,Debit,Monthly EMI for LKR 3.6M business loan
TXN0459,2026-06-05,Photocopy & Binding — Reports,Office Supplies,-1299.34,Debit,Petty cash expense
TXN0474,2026-06-05,Printer Ink & Paper Restock,Office Supplies,-6687.46,Debit,Petty cash expense
TXN0469,2026-06-06,Tea/Coffee & Office Refreshments,Petty Cash,-1573.38,Debit,Petty cash expense
TXN0453,2026-06-08,Staff Overtime Meal Allowance,Meals & Entertainment,-2844.59,Debit,Petty cash expense
TXN0457,2026-06-08,Tea/Coffee & Office Refreshments,Petty Cash,-512.07,Debit,Petty cash expense
TXN0462,2026-06-08,Staff Overtime Meal Allowance,Meals & Entertainment,-2444.02,Debit,Petty cash expense
TXN0463,2026-06-08,Photocopy & Binding — Reports,Office Supplies,-1454.94,Debit,Petty cash expense
TXN0496,2026-06-09,Fuel — Company Vehicle,Transport,-4286.89,Debit,Company vehicle fuel top-up
TXN0502,2026-06-09,DIMO — Vehicle Service,Transport,-42599.82,Debit,Vendor invoice payment
TXN0428,2026-06-10,Invoice Payment — Tokyo Cement,Sales Revenue,235590.15,Credit,Project milestone payment from Tokyo Cement
TXN0435,2026-06-10,Lanka Electricity Board — Office Bill,Electricity Bill,-43886.36,Debit,Monthly electricity consumption
TXN0438,2026-06-10,Lanka Advertising Agency — Digital Campaign,Marketing,-104632.35,Debit,Online ads & social media campaign — month 6
TXN0461,2026-06-10,Tea/Coffee & Office Refreshments,Petty Cash,-1967.38,Debit,Petty cash expense
TXN0486,2026-06-10,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-10130.61,Debit,Petty cash fund replenishment
TXN0501,2026-06-10,Keells Super — Office Pantry,Petty Cash,-10147.74,Debit,Vendor invoice payment
TXN0436,2026-06-12,SLT Fiber — Office Broadband (1Gbps),Internet Bill,-9667.02,Debit,Monthly ISP subscription
TXN0439,2026-06-13,Office Mart Colombo — Stationery & Equipment,Office Supplies,-7081.42,Debit,Office consumables and equipment
TXN0467,2026-06-13,Grab / PickMe — Staff Transport,Transport,-2711.89,Debit,Petty cash expense
TXN0475,2026-06-13,Freelancer Payment — Malith De Silva,Freelancer Fees,-43076.8,Debit,Contract work — Malith De Silva
TXN0492,2026-06-13,Fuel — Company Vehicle,Transport,-6779.77,Debit,Company vehicle fuel top-up
TXN0446,2026-06-14,Tea/Coffee & Office Refreshments,Petty Cash,-512.24,Debit,Petty cash expense
TXN0447,2026-06-14,Grab / PickMe — Staff Transport,Transport,-4100.19,Debit,Petty cash expense
TXN0452,2026-06-14,Team Lunch — Client Meeting,Meals & Entertainment,-4818.06,Debit,Petty cash expense
TXN0477,2026-06-14,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-50974.87,Debit,Contract work — Shanuki Rathnayake
TXN0489,2026-06-14,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-21736.69,Debit,Petty cash fund replenishment
TXN0449,2026-06-15,Staff Overtime Meal Allowance,Meals & Entertainment,-2399.45,Debit,Petty cash expense
TXN0493,2026-06-17,Fuel — Company Vehicle,Transport,-7137.1,Debit,Company vehicle fuel top-up
TXN0430,2026-06-18,Invoice Payment — Ceylinco Insurance,Sales Revenue,325625.33,Credit,Project milestone payment from Ceylinco Insurance
TXN0437,2026-06-18,CloudHosting.lk — Server & Hosting,Cloud & Software,-45894.35,Debit,Monthly cloud infrastructure
TXN0442,2026-06-18,ICTA Sri Lanka — Staff Training Program,Training & Development,-95000,Debit,Cloud computing certification for 3 engineers
TXN0444,2026-06-18,Tea/Coffee & Office Refreshments,Petty Cash,-2917.62,Debit,Petty cash expense
TXN0478,2026-06-18,Freelancer Payment — Ravindu Silva,Freelancer Fees,-102773.68,Debit,Contract work — Ravindu Silva
TXN0440,2026-06-20,Inland Revenue — Quarterly Tax Payment Q2,Tax,-103991.49,Debit,Corporate income tax installment
TXN0451,2026-06-20,Grab / PickMe — Staff Transport,Transport,-2442.93,Debit,Petty cash expense
TXN0487,2026-06-20,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-23613.88,Debit,Petty cash fund replenishment
TXN0488,2026-06-20,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-7832.74,Debit,Petty cash fund replenishment
TXN0495,2026-06-20,Fuel — Company Vehicle,Transport,-4440.05,Debit,Company vehicle fuel top-up
TXN0454,2026-06-21,Photocopy & Binding — Reports,Office Supplies,-1036.29,Debit,Petty cash expense
TXN0445,2026-06-22,Parking Fee — Colombo Office,Transport,-724.29,Debit,Petty cash expense
TXN0456,2026-06-22,Photocopy & Binding — Reports,Office Supplies,-1361.79,Debit,Petty cash expense
TXN0471,2026-06-22,Team Lunch — Client Meeting,Meals & Entertainment,-5101.75,Debit,Petty cash expense
TXN0480,2026-06-22,Freelancer Payment — Malith De Silva,Freelancer Fees,-95640.01,Debit,Contract work — Malith De Silva
TXN0490,2026-06-22,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-13908.23,Debit,Petty cash fund replenishment
TXN0494,2026-06-22,Fuel — Company Vehicle,Transport,-5383.26,Debit,Company vehicle fuel top-up
TXN0427,2026-06-23,Invoice Payment — Expolanka Holdings,Sales Revenue,260617.53,Credit,Project milestone payment from Expolanka Holdings
TXN0473,2026-06-23,Printer Ink & Paper Restock,Office Supplies,-7024.57,Debit,Petty cash expense
TXN0476,2026-06-23,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-84571.41,Debit,Contract work — Shanuki Rathnayake
TXN0498,2026-06-23,Fuel — Company Vehicle,Transport,-8926.59,Debit,Company vehicle fuel top-up
TXN0432,2026-06-24,Invoice Payment — Ceylon Cold Stores,Sales Revenue,415331.27,Credit,Project milestone payment from Ceylon Cold Stores
TXN0485,2026-06-24,Sampath Bank — Monthly Account Maintenance,Bank Charges,-1569.21,Debit,Monthly bank service charge
TXN0500,2026-06-24,Printcare PLC — Stationery Order,Office Supplies,-38442.26,Debit,Vendor invoice payment
TXN0429,2026-06-25,Invoice Payment — Softlogic Holdings,Sales Revenue,523214.82,Credit,Project milestone payment from Softlogic Holdings
TXN0433,2026-06-25,Staff Salaries — 12 Employees,Salaries,-999926.83,Debit,Monthly payroll run
TXN0443,2026-06-25,Photocopy & Binding — Reports,Office Supplies,-503.35,Debit,Petty cash expense
